appointment_id,service_id,service_name,practice_name,contact_name,email,phone,date,time,status,booking_channel,reference_code
apt_000017,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00017,Manager 00017,clinic00017@example.com,+1-555-300-1017,2026-04-06,11:15,pending,phone_assist,COB-20260406-000017
apt_000018,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00018,Manager 00018,clinic00018@example.com,+1-555-300-1018,2026-04-06,13:30,rescheduled,chatbot,COB-20260406-000018
apt_000019,svc_billing_denials,Medical Billing and Denial Management,Clinic 00019,Manager 00019,clinic00019@example.com,+1-555-300-1019,2026-04-06,14:45,cancelled,web_form,COB-20260406-000019
apt_000020,svc_auditing,Medical Auditing,Clinic 00020,Manager 00020,clinic00020@example.com,+1-555-300-1020,2026-04-06,15:00,confirmed,phone_assist,COB-20260406-000020
apt_000021,svc_customer_care,Customer Care,Clinic 00021,Manager 00021,clinic00021@example.com,+1-555-300-1021,2026-04-06,16:15,pending,chatbot,COB-20260406-000021
apt_000022,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00022,Manager 00022,clinic00022@example.com,+1-555-300-1022,2026-04-06,09:30,rescheduled,web_form,COB-20260406-000022
apt_000023,svc_financial_management,Financial Management,Clinic 00023,Manager 00023,clinic00023@example.com,+1-555-300-1023,2026-04-06,10:45,cancelled,phone_assist,COB-20260406-000023
apt_000024,svc_communication,Communication Services,Clinic 00024,Manager 00024,clinic00024@example.com,+1-555-300-1024,2026-04-06,11:00,confirmed,chatbot,COB-20260406-000024
apt_000025,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00025,Manager 00025,clinic00025@example.com,+1-555-300-1025,2026-04-06,13:15,pending,web_form,COB-20260406-000025
apt_000026,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00026,Manager 00026,clinic00026@example.com,+1-555-300-1026,2026-04-06,14:30,rescheduled,phone_assist,COB-20260406-000026
apt_000027,svc_billing_denials,Medical Billing and Denial Management,Clinic 00027,Manager 00027,clinic00027@example.com,+1-555-300-1027,2026-04-06,15:45,cancelled,chatbot,COB-20260406-000027
apt_000028,svc_auditing,Medical Auditing,Clinic 00028,Manager 00028,clinic00028@example.com,+1-555-300-1028,2026-04-06,16:00,confirmed,web_form,COB-20260406-000028
apt_000029,svc_customer_care,Customer Care,Clinic 00029,Manager 00029,clinic00029@example.com,+1-555-300-1029,2026-04-06,09:15,pending,phone_assist,COB-20260406-000029
apt_000030,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00030,Manager 00030,clinic00030@example.com,+1-555-300-1030,2026-04-06,10:30,rescheduled,chatbot,COB-20260406-000030
apt_000031,svc_financial_management,Financial Management,Clinic 00031,Manager 00031,clinic00031@example.com,+1-555-300-1031,2026-04-06,11:45,cancelled,web_form,COB-20260406-000031
apt_000032,svc_communication,Communication Services,Clinic 00032,Manager 00032,clinic00032@example.com,+1-555-300-1032,2026-04-06,13:00,confirmed,phone_assist,COB-20260406-000032
apt_000033,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00033,Manager 00033,clinic00033@example.com,+1-555-300-1033,2026-04-06,14:15,pending,chatbot,COB-20260406-000033
apt_000034,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00034,Manager 00034,clinic00034@example.com,+1-555-300-1034,2026-04-06,15:30,rescheduled,web_form,COB-20260406-000034
apt_000035,svc_billing_denials,Medical Billing and Denial Management,Clinic 00035,Manager 00035,clinic00035@example.com,+1-555-300-1035,2026-04-06,16:45,cancelled,phone_assist,COB-20260406-000035
apt_000036,svc_auditing,Medical Auditing,Clinic 00036,Manager 00036,clinic00036@example.com,+1-555-300-1036,2026-04-06,09:00,confirmed,chatbot,COB-20260406-000036
apt_000037,svc_customer_care,Customer Care,Clinic 00037,Manager 00037,clinic00037@example.com,+1-555-300-1037,2026-04-06,10:15,pending,web_form,COB-20260406-000037
apt_000038,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00038,Manager 00038,clinic00038@example.com,+1-555-300-1038,2026-04-06,11:30,rescheduled,phone_assist,COB-20260406-000038
apt_000039,svc_financial_management,Financial Management,Clinic 00039,Manager 00039,clinic00039@example.com,+1-555-300-1039,2026-04-06,13:45,cancelled,chatbot,COB-20260406-000039
apt_000040,svc_communication,Communication Services,Clinic 00040,Manager 00040,clinic00040@example.com,+1-555-300-1040,2026-04-06,14:00,confirmed,web_form,COB-20260406-000040
apt_000041,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00041,Manager 00041,clinic00041@example.com,+1-555-300-1041,2026-04-07,15:15,pending,phone_assist,COB-20260407-000041
apt_000042,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00042,Manager 00042,clinic00042@example.com,+1-555-300-1042,2026-04-07,16:30,rescheduled,chatbot,COB-20260407-000042
apt_000043,svc_billing_denials,Medical Billing and Denial Management,Clinic 00043,Manager 00043,clinic00043@example.com,+1-555-300-1043,2026-04-07,09:45,cancelled,web_form,COB-20260407-000043
apt_000044,svc_auditing,Medical Auditing,Clinic 00044,Manager 00044,clinic00044@example.com,+1-555-300-1044,2026-04-07,10:00,confirmed,phone_assist,COB-20260407-000044
apt_000045,svc_customer_care,Customer Care,Clinic 00045,Manager 00045,clinic00045@example.com,+1-555-300-1045,2026-04-07,11:15,pending,chatbot,COB-20260407-000045
apt_000046,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00046,Manager 00046,clinic00046@example.com,+1-555-300-1046,2026-04-07,13:30,rescheduled,web_form,COB-20260407-000046
apt_000047,svc_financial_management,Financial Management,Clinic 00047,Manager 00047,clinic00047@example.com,+1-555-300-1047,2026-04-07,14:45,cancelled,phone_assist,COB-20260407-000047
apt_000048,svc_communication,Communication Services,Clinic 00048,Manager 00048,clinic00048@example.com,+1-555-300-1048,2026-04-07,15:00,confirmed,chatbot,COB-20260407-000048
apt_000049,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00049,Manager 00049,clinic00049@example.com,+1-555-300-1049,2026-04-07,16:15,pending,web_form,COB-20260407-000049
apt_000050,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00050,Manager 00050,clinic00050@example.com,+1-555-300-1050,2026-04-07,09:30,rescheduled,phone_assist,COB-20260407-000050
apt_000051,svc_billing_denials,Medical Billing and Denial Management,Clinic 00051,Manager 00051,clinic00051@example.com,+1-555-300-1051,2026-04-07,10:45,cancelled,chatbot,COB-20260407-000051
apt_000052,svc_auditing,Medical Auditing,Clinic 00052,Manager 00052,clinic00052@example.com,+1-555-300-1052,2026-04-07,11:00,confirmed,web_form,COB-20260407-000052
apt_000053,svc_customer_care,Customer Care,Clinic 00053,Manager 00053,clinic00053@example.com,+1-555-300-1053,2026-04-07,13:15,pending,phone_assist,COB-20260407-000053
apt_000054,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00054,Manager 00054,clinic00054@example.com,+1-555-300-1054,2026-04-07,14:30,rescheduled,chatbot,COB-20260407-000054
apt_000055,svc_financial_management,Financial Management,Clinic 00055,Manager 00055,clinic00055@example.com,+1-555-300-1055,2026-04-07,15:45,cancelled,web_form,COB-20260407-000055
apt_000056,svc_communication,Communication Services,Clinic 00056,Manager 00056,clinic00056@example.com,+1-555-300-1056,2026-04-07,16:00,confirmed,phone_assist,COB-20260407-000056
apt_000057,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00057,Manager 00057,clinic00057@example.com,+1-555-300-1057,2026-04-07,09:15,pending,chatbot,COB-20260407-000057
apt_000058,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00058,Manager 00058,clinic00058@example.com,+1-555-300-1058,2026-04-07,10:30,rescheduled,web_form,COB-20260407-000058
apt_000059,svc_billing_denials,Medical Billing and Denial Management,Clinic 00059,Manager 00059,clinic00059@example.com,+1-555-300-1059,2026-04-07,11:45,cancelled,phone_assist,COB-20260407-000059
apt_000060,svc_auditing,Medical Auditing,Clinic 00060,Manager 00060,clinic00060@example.com,+1-555-300-1060,2026-04-07,13:00,confirmed,chatbot,COB-20260407-000060
apt_000061,svc_customer_care,Customer Care,Clinic 00061,Manager 00061,clinic00061@example.com,+1-555-300-1061,2026-04-07,14:15,pending,web_form,COB-20260407-000061
apt_000062,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00062,Manager 00062,clinic00062@example.com,+1-555-300-1062,2026-04-07,15:30,rescheduled,phone_assist,COB-20260407-000062
apt_000063,svc_financial_management,Financial Management,Clinic 00063,Manager 00063,clinic00063@example.com,+1-555-300-1063,2026-04-07,16:45,cancelled,chatbot,COB-20260407-000063
apt_000064,svc_communication,Communication Services,Clinic 00064,Manager 00064,clinic00064@example.com,+1-555-300-1064,2026-04-07,09:00,confirmed,web_form,COB-20260407-000064
apt_000065,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00065,Manager 00065,clinic00065@example.com,+1-555-300-1065,2026-04-07,10:15,pending,phone_assist,COB-20260407-000065
apt_000066,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00066,Manager 00066,clinic00066@example.com,+1-555-300-1066,2026-04-07,11:30,rescheduled,chatbot,COB-20260407-000066
apt_000067,svc_billing_denials,Medical Billing and Denial Management,Clinic 00067,Manager 00067,clinic00067@example.com,+1-555-300-1067,2026-04-07,13:45,cancelled,web_form,COB-20260407-000067
apt_000068,svc_auditing,Medical Auditing,Clinic 00068,Manager 00068,clinic00068@example.com,+1-555-300-1068,2026-04-07,14:00,confirmed,phone_assist,COB-20260407-000068
apt_000069,svc_customer_care,Customer Care,Clinic 00069,Manager 00069,clinic00069@example.com,+1-555-300-1069,2026-04-07,15:15,pending,chatbot,COB-20260407-000069
apt_000070,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00070,Manager 00070,clinic00070@example.com,+1-555-300-1070,2026-04-07,16:30,rescheduled,web_form,COB-20260407-000070
apt_000071,svc_financial_management,Financial Management,Clinic 00071,Manager 00071,clinic00071@example.com,+1-555-300-1071,2026-04-07,09:45,cancelled,phone_assist,COB-20260407-000071
apt_000072,svc_communication,Communication Services,Clinic 00072,Manager 00072,clinic00072@example.com,+1-555-300-1072,2026-04-07,10:00,confirmed,chatbot,COB-20260407-000072
apt_000073,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00073,Manager 00073,clinic00073@example.com,+1-555-300-1073,2026-04-07,11:15,pending,web_form,COB-20260407-000073
apt_000074,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00074,Manager 00074,clinic00074@example.com,+1-555-300-1074,2026-04-07,13:30,rescheduled,phone_assist,COB-20260407-000074
apt_000075,svc_billing_denials,Medical Billing and Denial Management,Clinic 00075,Manager 00075,clinic00075@example.com,+1-555-300-1075,2026-04-07,14:45,cancelled,chatbot,COB-20260407-000075
apt_000076,svc_auditing,Medical Auditing,Clinic 00076,Manager 00076,clinic00076@example.com,+1-555-300-1076,2026-04-07,15:00,confirmed,web_form,COB-20260407-000076
apt_000077,svc_customer_care,Customer Care,Clinic 00077,Manager 00077,clinic00077@example.com,+1-555-300-1077,2026-04-07,16:15,pending,phone_assist,COB-20260407-000077
apt_000078,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00078,Manager 00078,clinic00078@example.com,+1-555-300-1078,2026-04-07,09:30,rescheduled,chatbot,COB-20260407-000078
apt_000079,svc_financial_management,Financial Management,Clinic 00079,Manager 00079,clinic00079@example.com,+1-555-300-1079,2026-04-07,10:45,cancelled,web_form,COB-20260407-000079
apt_000080,svc_communication,Communication Services,Clinic 00080,Manager 00080,clinic00080@example.com,+1-555-300-1080,2026-04-07,11:00,confirmed,phone_assist,COB-20260407-000080
apt_000081,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00081,Manager 00081,clinic00081@example.com,+1-555-300-1081,2026-04-08,13:15,pending,chatbot,COB-20260408-000081
apt_000082,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00082,Manager 00082,clinic00082@example.com,+1-555-300-1082,2026-04-08,14:30,rescheduled,web_form,COB-20260408-000082
apt_000083,svc_billing_denials,Medical Billing and Denial Management,Clinic 00083,Manager 00083,clinic00083@example.com,+1-555-300-1083,2026-04-08,15:45,cancelled,phone_assist,COB-20260408-000083
apt_000084,svc_auditing,Medical Auditing,Clinic 00084,Manager 00084,clinic00084@example.com,+1-555-300-1084,2026-04-08,16:00,confirmed,chatbot,COB-20260408-000084
apt_000085,svc_customer_care,Customer Care,Clinic 00085,Manager 00085,clinic00085@example.com,+1-555-300-1085,2026-04-08,09:15,pending,web_form,COB-20260408-000085
apt_000086,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00086,Manager 00086,clinic00086@example.com,+1-555-300-1086,2026-04-08,10:30,rescheduled,phone_assist,COB-20260408-000086
apt_000087,svc_financial_management,Financial Management,Clinic 00087,Manager 00087,clinic00087@example.com,+1-555-300-1087,2026-04-08,11:45,cancelled,chatbot,COB-20260408-000087
apt_000088,svc_communication,Communication Services,Clinic 00088,Manager 00088,clinic00088@example.com,+1-555-300-1088,2026-04-08,13:00,confirmed,web_form,COB-20260408-000088
apt_000089,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00089,Manager 00089,clinic00089@example.com,+1-555-300-1089,2026-04-08,14:15,pending,phone_assist,COB-20260408-000089
apt_000090,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00090,Manager 00090,clinic00090@example.com,+1-555-300-1090,2026-04-08,15:30,rescheduled,chatbot,COB-20260408-000090
apt_000091,svc_billing_denials,Medical Billing and Denial Management,Clinic 00091,Manager 00091,clinic00091@example.com,+1-555-300-1091,2026-04-08,16:45,cancelled,web_form,COB-20260408-000091
apt_000092,svc_auditing,Medical Auditing,Clinic 00092,Manager 00092,clinic00092@example.com,+1-555-300-1092,2026-04-08,09:00,confirmed,phone_assist,COB-20260408-000092
apt_000093,svc_customer_care,Customer Care,Clinic 00093,Manager 00093,clinic00093@example.com,+1-555-300-1093,2026-04-08,10:15,pending,chatbot,COB-20260408-000093
apt_000094,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00094,Manager 00094,clinic00094@example.com,+1-555-300-1094,2026-04-08,11:30,rescheduled,web_form,COB-20260408-000094
apt_000095,svc_financial_management,Financial Management,Clinic 00095,Manager 00095,clinic00095@example.com,+1-555-300-1095,2026-04-08,13:45,cancelled,phone_assist,COB-20260408-000095
apt_000096,svc_communication,Communication Services,Clinic 00096,Manager 00096,clinic00096@example.com,+1-555-300-1096,2026-04-08,14:00,confirmed,chatbot,COB-20260408-000096
apt_000097,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00097,Manager 00097,clinic00097@example.com,+1-555-300-1097,2026-04-08,15:15,pending,web_form,COB-20260408-000097
apt_000098,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00098,Manager 00098,clinic00098@example.com,+1-555-300-1098,2026-04-08,16:30,rescheduled,phone_assist,COB-20260408-000098
apt_000099,svc_billing_denials,Medical Billing and Denial Management,Clinic 00099,Manager 00099,clinic00099@example.com,+1-555-300-1099,2026-04-08,09:45,cancelled,chatbot,COB-20260408-000099
apt_000100,svc_auditing,Medical Auditing,Clinic 00100,Manager 00100,clinic00100@example.com,+1-555-300-1100,2026-04-08,10:00,confirmed,web_form,COB-20260408-000100
apt_000101,svc_customer_care,Customer Care,Clinic 00101,Manager 00101,clinic00101@example.com,+1-555-300-1101,2026-04-08,11:15,pending,phone_assist,COB-20260408-000101
apt_000102,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00102,Manager 00102,clinic00102@example.com,+1-555-300-1102,2026-04-08,13:30,rescheduled,chatbot,COB-20260408-000102
apt_000103,svc_financial_management,Financial Management,Clinic 00103,Manager 00103,clinic00103@example.com,+1-555-300-1103,2026-04-08,14:45,cancelled,web_form,COB-20260408-000103
apt_000104,svc_communication,Communication Services,Clinic 00104,Manager 00104,clinic00104@example.com,+1-555-300-1104,2026-04-08,15:00,confirmed,phone_assist,COB-20260408-000104
apt_000105,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00105,Manager 00105,clinic00105@example.com,+1-555-300-1105,2026-04-08,16:15,pending,chatbot,COB-20260408-000105
apt_000106,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00106,Manager 00106,clinic00106@example.com,+1-555-300-1106,2026-04-08,09:30,rescheduled,web_form,COB-20260408-000106
apt_000107,svc_billing_denials,Medical Billing and Denial Management,Clinic 00107,Manager 00107,clinic00107@example.com,+1-555-300-1107,2026-04-08,10:45,cancelled,phone_assist,COB-20260408-000107
apt_000108,svc_auditing,Medical Auditing,Clinic 00108,Manager 00108,clinic00108@example.com,+1-555-300-1108,2026-04-08,11:00,confirmed,chatbot,COB-20260408-000108
apt_000109,svc_customer_care,Customer Care,Clinic 00109,Manager 00109,clinic00109@example.com,+1-555-300-1109,2026-04-08,13:15,pending,web_form,COB-20260408-000109
apt_000110,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00110,Manager 00110,clinic00110@example.com,+1-555-300-1110,2026-04-08,14:30,rescheduled,phone_assist,COB-20260408-000110
apt_000111,svc_financial_management,Financial Management,Clinic 00111,Manager 00111,clinic00111@example.com,+1-555-300-1111,2026-04-08,15:45,cancelled,chatbot,COB-20260408-000111
apt_000112,svc_communication,Communication Services,Clinic 00112,Manager 00112,clinic00112@example.com,+1-555-300-1112,2026-04-08,16:00,confirmed,web_form,COB-20260408-000112
apt_000113,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00113,Manager 00113,clinic00113@example.com,+1-555-300-1113,2026-04-08,09:15,pending,phone_assist,COB-20260408-000113
apt_000114,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00114,Manager 00114,clinic00114@example.com,+1-555-300-1114,2026-04-08,10:30,rescheduled,chatbot,COB-20260408-000114
apt_000115,svc_billing_denials,Medical Billing and Denial Management,Clinic 00115,Manager 00115,clinic00115@example.com,+1-555-300-1115,2026-04-08,11:45,cancelled,web_form,COB-20260408-000115
apt_000116,svc_auditing,Medical Auditing,Clinic 00116,Manager 00116,clinic00116@example.com,+1-555-300-1116,2026-04-08,13:00,confirmed,phone_assist,COB-20260408-000116
apt_000117,svc_customer_care,Customer Care,Clinic 00117,Manager 00117,clinic00117@example.com,+1-555-300-1117,2026-04-08,14:15,pending,chatbot,COB-20260408-000117
apt_000118,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00118,Manager 00118,clinic00118@example.com,+1-555-300-1118,2026-04-08,15:30,rescheduled,web_form,COB-20260408-000118
apt_000119,svc_financial_management,Financial Management,Clinic 00119,Manager 00119,clinic00119@example.com,+1-555-300-1119,2026-04-08,16:45,cancelled,phone_assist,COB-20260408-000119
apt_000120,svc_communication,Communication Services,Clinic 00120,Manager 00120,clinic00120@example.com,+1-555-300-1120,2026-04-08,09:00,confirmed,chatbot,COB-20260408-000120
apt_000121,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00121,Manager 00121,clinic00121@example.com,+1-555-300-1121,2026-04-09,10:15,pending,web_form,COB-20260409-000121
apt_000122,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00122,Manager 00122,clinic00122@example.com,+1-555-300-1122,2026-04-09,11:30,rescheduled,phone_assist,COB-20260409-000122
apt_000123,svc_billing_denials,Medical Billing and Denial Management,Clinic 00123,Manager 00123,clinic00123@example.com,+1-555-300-1123,2026-04-09,13:45,cancelled,chatbot,COB-20260409-000123
apt_000124,svc_auditing,Medical Auditing,Clinic 00124,Manager 00124,clinic00124@example.com,+1-555-300-1124,2026-04-09,14:00,confirmed,web_form,COB-20260409-000124
apt_000125,svc_customer_care,Customer Care,Clinic 00125,Manager 00125,clinic00125@example.com,+1-555-300-1125,2026-04-09,15:15,pending,phone_assist,COB-20260409-000125
apt_000126,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00126,Manager 00126,clinic00126@example.com,+1-555-300-1126,2026-04-09,16:30,rescheduled,chatbot,COB-20260409-000126
apt_000127,svc_financial_management,Financial Management,Clinic 00127,Manager 00127,clinic00127@example.com,+1-555-300-1127,2026-04-09,09:45,cancelled,web_form,COB-20260409-000127
apt_000128,svc_communication,Communication Services,Clinic 00128,Manager 00128,clinic00128@example.com,+1-555-300-1128,2026-04-09,10:00,confirmed,phone_assist,COB-20260409-000128
apt_000129,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00129,Manager 00129,clinic00129@example.com,+1-555-300-1129,2026-04-09,11:15,pending,chatbot,COB-20260409-000129
apt_000130,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00130,Manager 00130,clinic00130@example.com,+1-555-300-1130,2026-04-09,13:30,rescheduled,web_form,COB-20260409-000130
apt_000131,svc_billing_denials,Medical Billing and Denial Management,Clinic 00131,Manager 00131,clinic00131@example.com,+1-555-300-1131,2026-04-09,14:45,cancelled,phone_assist,COB-20260409-000131
apt_000132,svc_auditing,Medical Auditing,Clinic 00132,Manager 00132,clinic00132@example.com,+1-555-300-1132,2026-04-09,15:00,confirmed,chatbot,COB-20260409-000132
apt_000133,svc_customer_care,Customer Care,Clinic 00133,Manager 00133,clinic00133@example.com,+1-555-300-1133,2026-04-09,16:15,pending,web_form,COB-20260409-000133
apt_000134,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00134,Manager 00134,clinic00134@example.com,+1-555-300-1134,2026-04-09,09:30,rescheduled,phone_assist,COB-20260409-000134
apt_000135,svc_financial_management,Financial Management,Clinic 00135,Manager 00135,clinic00135@example.com,+1-555-300-1135,2026-04-09,10:45,cancelled,chatbot,COB-20260409-000135
apt_000136,svc_communication,Communication Services,Clinic 00136,Manager 00136,clinic00136@example.com,+1-555-300-1136,2026-04-09,11:00,confirmed,web_form,COB-20260409-000136
apt_000137,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00137,Manager 00137,clinic00137@example.com,+1-555-300-1137,2026-04-09,13:15,pending,phone_assist,COB-20260409-000137
apt_000138,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00138,Manager 00138,clinic00138@example.com,+1-555-300-1138,2026-04-09,14:30,rescheduled,chatbot,COB-20260409-000138
apt_000139,svc_billing_denials,Medical Billing and Denial Management,Clinic 00139,Manager 00139,clinic00139@example.com,+1-555-300-1139,2026-04-09,15:45,cancelled,web_form,COB-20260409-000139
apt_000140,svc_auditing,Medical Auditing,Clinic 00140,Manager 00140,clinic00140@example.com,+1-555-300-1140,2026-04-09,16:00,confirmed,phone_assist,COB-20260409-000140
apt_000141,svc_customer_care,Customer Care,Clinic 00141,Manager 00141,clinic00141@example.com,+1-555-300-1141,2026-04-09,09:15,pending,chatbot,COB-20260409-000141
apt_000142,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00142,Manager 00142,clinic00142@example.com,+1-555-300-1142,2026-04-09,10:30,rescheduled,web_form,COB-20260409-000142
apt_000143,svc_financial_management,Financial Management,Clinic 00143,Manager 00143,clinic00143@example.com,+1-555-300-1143,2026-04-09,11:45,cancelled,phone_assist,COB-20260409-000143
apt_000144,svc_communication,Communication Services,Clinic 00144,Manager 00144,clinic00144@example.com,+1-555-300-1144,2026-04-09,13:00,confirmed,chatbot,COB-20260409-000144
apt_000145,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00145,Manager 00145,clinic00145@example.com,+1-555-300-1145,2026-04-09,14:15,pending,web_form,COB-20260409-000145
apt_000146,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00146,Manager 00146,clinic00146@example.com,+1-555-300-1146,2026-04-09,15:30,rescheduled,phone_assist,COB-20260409-000146
apt_000147,svc_billing_denials,Medical Billing and Denial Management,Clinic 00147,Manager 00147,clinic00147@example.com,+1-555-300-1147,2026-04-09,16:45,cancelled,chatbot,COB-20260409-000147
apt_000148,svc_auditing,Medical Auditing,Clinic 00148,Manager 00148,clinic00148@example.com,+1-555-300-1148,2026-04-09,09:00,confirmed,web_form,COB-20260409-000148
apt_000149,svc_customer_care,Customer Care,Clinic 00149,Manager 00149,clinic00149@example.com,+1-555-300-1149,2026-04-09,10:15,pending,phone_assist,COB-20260409-000149
apt_000150,svc_digital_marketing,Digital Marketing and Website Services,Clinic 00150,Manager 00150,clinic00150@example.com,+1-555-300-1150,2026-04-09,11:30,rescheduled,chatbot,COB-20260409-000150
apt_000151,svc_financial_management,Financial Management,Clinic 00151,Manager 00151,clinic00151@example.com,+1-555-300-1151,2026-04-09,13:45,cancelled,web_form,COB-20260409-000151
apt_000152,svc_communication,Communication Services,Clinic 00152,Manager 00152,clinic00152@example.com,+1-555-300-1152,2026-04-09,14:00,confirmed,phone_assist,COB-20260409-000152
apt_000153,svc_credentialing,Credentialing and Provider Maintenance,Clinic 00153,Manager 00153,clinic00153@example.com,+1-555-300-1153,2026-04-09,15:15,pending,chatbot,COB-20260409-000153
apt_000154,svc_auth_benefits,Authorizations and Benefits Verification,Clinic 00154,Manager 00154,clinic00154@example.com,+1-555-300-1154,2026-04-09,16:30,rescheduled,web_form,COB-20260409-000154
