faq_id,service_id,service_name,question,answer,category,difficulty,source
faq_00033,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,basic,synthetic_interview_dataset
faq_00034,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,standard,synthetic_interview_dataset
faq_00035,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,advanced,synthetic_interview_dataset
faq_00036,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,basic,synthetic_interview_dataset
faq_00037,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,standard,synthetic_interview_dataset
faq_00038,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,advanced,synthetic_interview_dataset
faq_00039,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,basic,synthetic_interview_dataset
faq_00040,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,standard,synthetic_interview_dataset
faq_00041,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,advanced,synthetic_interview_dataset
faq_00042,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,basic,synthetic_interview_dataset
faq_00043,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,standard,synthetic_interview_dataset
faq_00044,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,advanced,synthetic_interview_dataset
faq_00045,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,basic,synthetic_interview_dataset
faq_00046,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,standard,synthetic_interview_dataset
faq_00047,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,advanced,synthetic_interview_dataset
faq_00048,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,basic,synthetic_interview_dataset
faq_00049,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,standard,synthetic_interview_dataset
faq_00050,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,advanced,synthetic_interview_dataset
faq_00051,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,basic,synthetic_interview_dataset
faq_00052,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,standard,synthetic_interview_dataset
faq_00053,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,advanced,synthetic_interview_dataset
faq_00054,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,basic,synthetic_interview_dataset
faq_00055,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,standard,synthetic_interview_dataset
faq_00056,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,advanced,synthetic_interview_dataset
faq_00057,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,basic,synthetic_interview_dataset
faq_00058,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,standard,synthetic_interview_dataset
faq_00059,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,advanced,synthetic_interview_dataset
faq_00060,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,basic,synthetic_interview_dataset
faq_00061,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,standard,synthetic_interview_dataset
faq_00062,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,advanced,synthetic_interview_dataset
faq_00063,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,basic,synthetic_interview_dataset
faq_00064,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,standard,synthetic_interview_dataset
faq_00065,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,advanced,synthetic_interview_dataset
faq_00066,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,basic,synthetic_interview_dataset
faq_00067,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,standard,synthetic_interview_dataset
faq_00068,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,advanced,synthetic_interview_dataset
faq_00069,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,basic,synthetic_interview_dataset
faq_00070,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,standard,synthetic_interview_dataset
faq_00071,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,advanced,synthetic_interview_dataset
faq_00072,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,basic,synthetic_interview_dataset
faq_00073,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,standard,synthetic_interview_dataset
faq_00074,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,advanced,synthetic_interview_dataset
faq_00075,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,basic,synthetic_interview_dataset
faq_00076,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,standard,synthetic_interview_dataset
faq_00077,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,advanced,synthetic_interview_dataset
faq_00078,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,basic,synthetic_interview_dataset
faq_00079,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,standard,synthetic_interview_dataset
faq_00080,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,advanced,synthetic_interview_dataset
faq_00081,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,basic,synthetic_interview_dataset
faq_00082,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,standard,synthetic_interview_dataset
faq_00083,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,advanced,synthetic_interview_dataset
faq_00084,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,basic,synthetic_interview_dataset
faq_00085,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,standard,synthetic_interview_dataset
faq_00086,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,advanced,synthetic_interview_dataset
faq_00087,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,basic,synthetic_interview_dataset
faq_00088,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,standard,synthetic_interview_dataset
faq_00089,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,advanced,synthetic_interview_dataset
faq_00090,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,basic,synthetic_interview_dataset
faq_00091,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,standard,synthetic_interview_dataset
faq_00092,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,advanced,synthetic_interview_dataset
faq_00093,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,basic,synthetic_interview_dataset
faq_00094,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,standard,synthetic_interview_dataset
faq_00095,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,advanced,synthetic_interview_dataset
faq_00096,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,basic,synthetic_interview_dataset
faq_00097,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,standard,synthetic_interview_dataset
faq_00098,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,advanced,synthetic_interview_dataset
faq_00099,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,basic,synthetic_interview_dataset
faq_00100,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,standard,synthetic_interview_dataset
faq_00101,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,advanced,synthetic_interview_dataset
faq_00102,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,basic,synthetic_interview_dataset
faq_00103,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,standard,synthetic_interview_dataset
faq_00104,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,advanced,synthetic_interview_dataset
faq_00105,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,basic,synthetic_interview_dataset
faq_00106,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,standard,synthetic_interview_dataset
faq_00107,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,advanced,synthetic_interview_dataset
faq_00108,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,basic,synthetic_interview_dataset
faq_00109,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,standard,synthetic_interview_dataset
faq_00110,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,advanced,synthetic_interview_dataset
faq_00111,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,basic,synthetic_interview_dataset
faq_00112,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,standard,synthetic_interview_dataset
faq_00113,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,advanced,synthetic_interview_dataset
faq_00114,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,basic,synthetic_interview_dataset
faq_00115,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,standard,synthetic_interview_dataset
faq_00116,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,advanced,synthetic_interview_dataset
faq_00117,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,basic,synthetic_interview_dataset
faq_00118,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,standard,synthetic_interview_dataset
faq_00119,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,advanced,synthetic_interview_dataset
faq_00120,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,basic,synthetic_interview_dataset
faq_00121,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,standard,synthetic_interview_dataset
faq_00122,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,advanced,synthetic_interview_dataset
faq_00123,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,basic,synthetic_interview_dataset
faq_00124,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,standard,synthetic_interview_dataset
faq_00125,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,advanced,synthetic_interview_dataset
faq_00126,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,basic,synthetic_interview_dataset
faq_00127,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,standard,synthetic_interview_dataset
faq_00128,svc_communication,Communication Services,What if my Communication Services request is outside standard policy?,The chatbot provides available guidance and then offers escalation to the appropriate human team.,service,advanced,synthetic_interview_dataset
faq_00129,svc_credentialing,Credentialing and Provider Maintenance,What does Credentialing and Provider Maintenance include for growing practices?,"Credentialing and Provider Maintenance includes support around credentialing, provider enrollment, and related operational workflows tailored to practice goals.",policy,basic,synthetic_interview_dataset
faq_00130,svc_auth_benefits,Authorizations and Benefits Verification,How do I start with Authorizations and Benefits Verification?,"Start by sharing practice details, current challenges, and timeline so the team can propose the right Authorizations and Benefits Verification workflow.",scheduling,standard,synthetic_interview_dataset
faq_00131,svc_billing_denials,Medical Billing and Denial Management,Can I schedule a consultation for Medical Billing and Denial Management next week?,Yes. The chatbot can collect your preferred date and time and submit a mock appointment request for Medical Billing and Denial Management.,escalation,advanced,synthetic_interview_dataset
faq_00132,svc_auditing,Medical Auditing,What information is needed before booking Medical Auditing?,"Please provide practice name, contact details, preferred date/time, and a short summary of your request.",service,basic,synthetic_interview_dataset
faq_00133,svc_customer_care,Customer Care,How do escalations work for Customer Care issues?,"If the issue is sensitive, urgent, or unresolved after repeated attempts, the chatbot routes the case to a human team.",policy,standard,synthetic_interview_dataset
faq_00134,svc_digital_marketing,Digital Marketing and Website Services,Do you support multi-location clinics for Digital Marketing and Website Services?,Yes. The mock dataset assumes support for single-site and multi-location practices for Digital Marketing and Website Services.,scheduling,advanced,synthetic_interview_dataset
faq_00135,svc_financial_management,Financial Management,Can I update my contact information during a Financial Management conversation?,Yes. The chatbot can run a contact-update flow and queue the change for follow-up processing.,escalation,basic,synthetic_interview_dataset
