kpi_id,service_id,month,avg_first_response_minutes,avg_resolution_hours,csat_score,escalation_rate_percent
kpi_0032,svc_communication,2026-08,14,40,4.1,3.0
kpi_0033,svc_credentialing,2026-09,4,41,4.15,3.8
kpi_0034,svc_auth_benefits,2026-10,5,42,4.2,4.6
kpi_0035,svc_billing_denials,2026-11,6,43,4.25,5.4
kpi_0036,svc_auditing,2026-12,7,44,4.3,6.2
kpi_0037,svc_customer_care,2026-01,8,8,4.35,7.0
kpi_0038,svc_digital_marketing,2026-02,9,9,4.4,7.8
kpi_0039,svc_financial_management,2026-03,10,10,4.45,8.6
kpi_0040,svc_communication,2026-04,11,11,4.0,3.0
kpi_0041,svc_credentialing,2026-05,12,12,4.05,3.8
kpi_0042,svc_auth_benefits,2026-06,13,13,4.1,4.6
kpi_0043,svc_billing_denials,2026-07,14,14,4.15,5.4
kpi_0044,svc_auditing,2026-08,4,15,4.2,6.2
kpi_0045,svc_customer_care,2026-09,5,16,4.25,7.0
kpi_0046,svc_digital_marketing,2026-10,6,17,4.3,7.8
kpi_0047,svc_financial_management,2026-11,7,18,4.35,8.6
kpi_0048,svc_communication,2026-12,8,19,4.4,3.0
kpi_0049,svc_credentialing,2026-01,9,20,4.45,3.8
kpi_0050,svc_auth_benefits,2026-02,10,21,4.0,4.6
kpi_0051,svc_billing_denials,2026-03,11,22,4.05,5.4
kpi_0052,svc_auditing,2026-04,12,23,4.1,6.2
kpi_0053,svc_customer_care,2026-05,13,24,4.15,7.0
kpi_0054,svc_digital_marketing,2026-06,14,25,4.2,7.8
kpi_0055,svc_financial_management,2026-07,4,26,4.25,8.6
kpi_0056,svc_communication,2026-08,5,27,4.3,3.0
kpi_0057,svc_credentialing,2026-09,6,28,4.35,3.8
kpi_0058,svc_auth_benefits,2026-10,7,29,4.4,4.6
kpi_0059,svc_billing_denials,2026-11,8,30,4.45,5.4
kpi_0060,svc_auditing,2026-12,9,31,4.0,6.2
kpi_0061,svc_customer_care,2026-01,10,32,4.05,7.0
kpi_0062,svc_digital_marketing,2026-02,11,33,4.1,7.8
kpi_0063,svc_financial_management,2026-03,12,34,4.15,8.6
kpi_0064,svc_communication,2026-04,13,35,4.2,3.0
kpi_0065,svc_credentialing,2026-05,14,36,4.25,3.8
kpi_0066,svc_auth_benefits,2026-06,4,37,4.3,4.6
kpi_0067,svc_billing_denials,2026-07,5,38,4.35,5.4
kpi_0068,svc_auditing,2026-08,6,39,4.4,6.2
kpi_0069,svc_customer_care,2026-09,7,40,4.45,7.0
kpi_0070,svc_digital_marketing,2026-10,8,41,4.0,7.8
kpi_0071,svc_financial_management,2026-11,9,42,4.05,8.6
kpi_0072,svc_communication,2026-12,10,43,4.1,3.0
kpi_0073,svc_credentialing,2026-01,11,44,4.15,3.8
kpi_0074,svc_auth_benefits,2026-02,12,8,4.2,4.6
kpi_0075,svc_billing_denials,2026-03,13,9,4.25,5.4
kpi_0076,svc_auditing,2026-04,14,10,4.3,6.2
kpi_0077,svc_customer_care,2026-05,4,11,4.35,7.0
kpi_0078,svc_digital_marketing,2026-06,5,12,4.4,7.8
kpi_0079,svc_financial_management,2026-07,6,13,4.45,8.6
kpi_0080,svc_communication,2026-08,7,14,4.0,3.0
kpi_0081,svc_credentialing,2026-09,8,15,4.05,3.8
kpi_0082,svc_auth_benefits,2026-10,9,16,4.1,4.6
kpi_0083,svc_billing_denials,2026-11,10,17,4.15,5.4
kpi_0084,svc_auditing,2026-12,11,18,4.2,6.2
kpi_0085,svc_customer_care,2026-01,12,19,4.25,7.0
kpi_0086,svc_digital_marketing,2026-02,13,20,4.3,7.8
kpi_0087,svc_financial_management,2026-03,14,21,4.35,8.6
kpi_0088,svc_communication,2026-04,4,22,4.4,3.0
kpi_0089,svc_credentialing,2026-05,5,23,4.45,3.8
kpi_0090,svc_auth_benefits,2026-06,6,24,4.0,4.6
kpi_0091,svc_billing_denials,2026-07,7,25,4.05,5.4
kpi_0092,svc_auditing,2026-08,8,26,4.1,6.2
kpi_0093,svc_customer_care,2026-09,9,27,4.15,7.0
kpi_0094,svc_digital_marketing,2026-10,10,28,4.2,7.8
kpi_0095,svc_financial_management,2026-11,11,29,4.25,8.6
kpi_0096,svc_communication,2026-12,12,30,4.3,3.0
kpi_0097,svc_credentialing,2026-01,13,31,4.35,3.8
kpi_0098,svc_auth_benefits,2026-02,14,32,4.4,4.6
kpi_0099,svc_billing_denials,2026-03,4,33,4.45,5.4
kpi_0100,svc_auditing,2026-04,5,34,4.0,6.2
kpi_0101,svc_customer_care,2026-05,6,35,4.05,7.0
kpi_0102,svc_digital_marketing,2026-06,7,36,4.1,7.8
kpi_0103,svc_financial_management,2026-07,8,37,4.15,8.6
kpi_0104,svc_communication,2026-08,9,38,4.2,3.0
kpi_0105,svc_credentialing,2026-09,10,39,4.25,3.8
kpi_0106,svc_auth_benefits,2026-10,11,40,4.3,4.6
kpi_0107,svc_billing_denials,2026-11,12,41,4.35,5.4
kpi_0108,svc_auditing,2026-12,13,42,4.4,6.2
kpi_0109,svc_customer_care,2026-01,14,43,4.45,7.0
kpi_0110,svc_digital_marketing,2026-02,4,44,4.0,7.8
kpi_0111,svc_financial_management,2026-03,5,8,4.05,8.6
kpi_0112,svc_communication,2026-04,6,9,4.1,3.0
kpi_0113,svc_credentialing,2026-05,7,10,4.15,3.8
kpi_0114,svc_auth_benefits,2026-06,8,11,4.2,4.6
kpi_0115,svc_billing_denials,2026-07,9,12,4.25,5.4
kpi_0116,svc_auditing,2026-08,10,13,4.3,6.2
kpi_0117,svc_customer_care,2026-09,11,14,4.35,7.0
kpi_0118,svc_digital_marketing,2026-10,12,15,4.4,7.8
kpi_0119,svc_financial_management,2026-11,13,16,4.45,8.6
kpi_0120,svc_communication,2026-12,14,17,4.0,3.0
kpi_0121,svc_credentialing,2026-01,4,18,4.05,3.8
kpi_0122,svc_auth_benefits,2026-02,5,19,4.1,4.6
kpi_0123,svc_billing_denials,2026-03,6,20,4.15,5.4
kpi_0124,svc_auditing,2026-04,7,21,4.2,6.2
kpi_0125,svc_customer_care,2026-05,8,22,4.25,7.0
kpi_0126,svc_digital_marketing,2026-06,9,23,4.3,7.8
kpi_0127,svc_financial_management,2026-07,10,24,4.35,8.6
kpi_0128,svc_communication,2026-08,11,25,4.4,3.0
kpi_0129,svc_credentialing,2026-09,12,26,4.45,3.8
kpi_0130,svc_auth_benefits,2026-10,13,27,4.0,4.6
kpi_0131,svc_billing_denials,2026-11,14,28,4.05,5.4
kpi_0132,svc_auditing,2026-12,4,29,4.1,6.2
kpi_0133,svc_customer_care,2026-01,5,30,4.15,7.0
kpi_0134,svc_digital_marketing,2026-02,6,31,4.2,7.8
kpi_0135,svc_financial_management,2026-03,7,32,4.25,8.6
kpi_0136,svc_communication,2026-04,8,33,4.3,3.0
kpi_0137,svc_credentialing,2026-05,9,34,4.35,3.8
kpi_0138,svc_auth_benefits,2026-06,10,35,4.4,4.6
kpi_0139,svc_billing_denials,2026-07,11,36,4.45,5.4
kpi_0140,svc_auditing,2026-08,12,37,4.0,6.2
kpi_0141,svc_customer_care,2026-09,13,38,4.05,7.0
kpi_0142,svc_digital_marketing,2026-10,14,39,4.1,7.8
kpi_0143,svc_financial_management,2026-11,4,40,4.15,8.6
kpi_0144,svc_communication,2026-12,5,41,4.2,3.0
kpi_0145,svc_credentialing,2026-01,6,42,4.25,3.8
kpi_0146,svc_auth_benefits,2026-02,7,43,4.3,4.6
kpi_0147,svc_billing_denials,2026-03,8,44,4.35,5.4
kpi_0148,svc_auditing,2026-04,9,8,4.4,6.2
kpi_0149,svc_customer_care,2026-05,10,9,4.45,7.0
kpi_0150,svc_digital_marketing,2026-06,11,10,4.0,7.8
kpi_0151,svc_financial_management,2026-07,12,11,4.05,8.6
kpi_0152,svc_communication,2026-08,13,12,4.1,3.0
kpi_0153,svc_credentialing,2026-09,14,13,4.15,3.8
kpi_0154,svc_auth_benefits,2026-10,4,14,4.2,4.6
kpi_0155,svc_billing_denials,2026-11,5,15,4.25,5.4
kpi_0156,svc_auditing,2026-12,6,16,4.3,6.2
kpi_0157,svc_customer_care,2026-01,7,17,4.35,7.0
kpi_0158,svc_digital_marketing,2026-02,8,18,4.4,7.8
kpi_0159,svc_financial_management,2026-03,9,19,4.45,8.6
kpi_0160,svc_communication,2026-04,10,20,4.0,3.0
kpi_0161,svc_credentialing,2026-05,11,21,4.05,3.8
kpi_0162,svc_auth_benefits,2026-06,12,22,4.1,4.6
kpi_0163,svc_billing_denials,2026-07,13,23,4.15,5.4
kpi_0164,svc_auditing,2026-08,14,24,4.2,6.2
kpi_0165,svc_customer_care,2026-09,4,25,4.25,7.0
kpi_0166,svc_digital_marketing,2026-10,5,26,4.3,7.8
kpi_0167,svc_financial_management,2026-11,6,27,4.35,8.6
kpi_0168,svc_communication,2026-12,7,28,4.4,3.0
kpi_0169,svc_credentialing,2026-01,8,29,4.45,3.8
kpi_0170,svc_auth_benefits,2026-02,9,30,4.0,4.6
kpi_0171,svc_billing_denials,2026-03,10,31,4.05,5.4
kpi_0172,svc_auditing,2026-04,11,32,4.1,6.2
kpi_0173,svc_customer_care,2026-05,12,33,4.15,7.0
kpi_0174,svc_digital_marketing,2026-06,13,34,4.2,7.8
kpi_0175,svc_financial_management,2026-07,14,35,4.25,8.6
kpi_0176,svc_communication,2026-08,4,36,4.3,3.0
kpi_0177,svc_credentialing,2026-09,5,37,4.35,3.8
kpi_0178,svc_auth_benefits,2026-10,6,38,4.4,4.6
kpi_0179,svc_billing_denials,2026-11,7,39,4.45,5.4
kpi_0180,svc_auditing,2026-12,8,40,4.0,6.2
kpi_0181,svc_customer_care,2026-01,9,41,4.05,7.0
kpi_0182,svc_digital_marketing,2026-02,10,42,4.1,7.8
kpi_0183,svc_financial_management,2026-03,11,43,4.15,8.6
kpi_0184,svc_communication,2026-04,12,44,4.2,3.0
kpi_0185,svc_credentialing,2026-05,13,8,4.25,3.8
kpi_0186,svc_auth_benefits,2026-06,14,9,4.3,4.6
kpi_0187,svc_billing_denials,2026-07,4,10,4.35,5.4
kpi_0188,svc_auditing,2026-08,5,11,4.4,6.2
kpi_0189,svc_customer_care,2026-09,6,12,4.45,7.0
kpi_0190,svc_digital_marketing,2026-10,7,13,4.0,7.8
kpi_0191,svc_financial_management,2026-11,8,14,4.05,8.6
kpi_0192,svc_communication,2026-12,9,15,4.1,3.0
kpi_0193,svc_credentialing,2026-01,10,16,4.15,3.8
kpi_0194,svc_auth_benefits,2026-02,11,17,4.2,4.6
kpi_0195,svc_billing_denials,2026-03,12,18,4.25,5.4
kpi_0196,svc_auditing,2026-04,13,19,4.3,6.2
kpi_0197,svc_customer_care,2026-05,14,20,4.35,7.0
kpi_0198,svc_digital_marketing,2026-06,4,21,4.4,7.8
kpi_0199,svc_financial_management,2026-07,5,22,4.45,8.6
kpi_0200,svc_communication,2026-08,6,23,4.0,3.0
kpi_0201,svc_credentialing,2026-09,7,24,4.05,3.8
kpi_0202,svc_auth_benefits,2026-10,8,25,4.1,4.6
kpi_0203,svc_billing_denials,2026-11,9,26,4.15,5.4
kpi_0204,svc_auditing,2026-12,10,27,4.2,6.2
kpi_0205,svc_customer_care,2026-01,11,28,4.25,7.0
kpi_0206,svc_digital_marketing,2026-02,12,29,4.3,7.8
kpi_0207,svc_financial_management,2026-03,13,30,4.35,8.6
kpi_0208,svc_communication,2026-04,14,31,4.4,3.0
kpi_0209,svc_credentialing,2026-05,4,32,4.45,3.8
kpi_0210,svc_auth_benefits,2026-06,5,33,4.0,4.6
kpi_0211,svc_billing_denials,2026-07,6,34,4.05,5.4
kpi_0212,svc_auditing,2026-08,7,35,4.1,6.2
kpi_0213,svc_customer_care,2026-09,8,36,4.15,7.0
kpi_0214,svc_digital_marketing,2026-10,9,37,4.2,7.8
kpi_0215,svc_financial_management,2026-11,10,38,4.25,8.6
kpi_0216,svc_communication,2026-12,11,39,4.3,3.0
kpi_0217,svc_credentialing,2026-01,12,40,4.35,3.8
kpi_0218,svc_auth_benefits,2026-02,13,41,4.4,4.6
kpi_0219,svc_billing_denials,2026-03,14,42,4.45,5.4
kpi_0220,svc_auditing,2026-04,4,43,4.0,6.2
kpi_0221,svc_customer_care,2026-05,5,44,4.05,7.0
kpi_0222,svc_digital_marketing,2026-06,6,8,4.1,7.8
kpi_0223,svc_financial_management,2026-07,7,9,4.15,8.6
kpi_0224,svc_communication,2026-08,8,10,4.2,3.0
kpi_0225,svc_credentialing,2026-09,9,11,4.25,3.8
kpi_0226,svc_auth_benefits,2026-10,10,12,4.3,4.6
kpi_0227,svc_billing_denials,2026-11,11,13,4.35,5.4
kpi_0228,svc_auditing,2026-12,12,14,4.4,6.2
kpi_0229,svc_customer_care,2026-01,13,15,4.45,7.0
kpi_0230,svc_digital_marketing,2026-02,14,16,4.0,7.8
kpi_0231,svc_financial_management,2026-03,4,17,4.05,8.6
kpi_0232,svc_communication,2026-04,5,18,4.1,3.0
kpi_0233,svc_credentialing,2026-05,6,19,4.15,3.8
kpi_0234,svc_auth_benefits,2026-06,7,20,4.2,4.6
kpi_0235,svc_billing_denials,2026-07,8,21,4.25,5.4
kpi_0236,svc_auditing,2026-08,9,22,4.3,6.2
kpi_0237,svc_customer_care,2026-09,10,23,4.35,7.0
kpi_0238,svc_digital_marketing,2026-10,11,24,4.4,7.8
kpi_0239,svc_financial_management,2026-11,12,25,4.45,8.6
kpi_0240,svc_communication,2026-12,13,26,4.0,3.0
kpi_0241,svc_credentialing,2026-01,14,27,4.05,3.8
kpi_0242,svc_auth_benefits,2026-02,4,28,4.1,4.6
kpi_0243,svc_billing_denials,2026-03,5,29,4.15,5.4
kpi_0244,svc_auditing,2026-04,6,30,4.2,6.2
kpi_0245,svc_customer_care,2026-05,7,31,4.25,7.0
kpi_0246,svc_digital_marketing,2026-06,8,32,4.3,7.8
kpi_0247,svc_financial_management,2026-07,9,33,4.35,8.6
kpi_0248,svc_communication,2026-08,10,34,4.4,3.0
kpi_0249,svc_credentialing,2026-09,11,35,4.45,3.8
kpi_0250,svc_auth_benefits,2026-10,12,36,4.0,4.6
kpi_0251,svc_billing_denials,2026-11,13,37,4.05,5.4
kpi_0252,svc_auditing,2026-12,14,38,4.1,6.2
kpi_0253,svc_customer_care,2026-01,4,39,4.15,7.0
kpi_0254,svc_digital_marketing,2026-02,5,40,4.2,7.8
kpi_0255,svc_financial_management,2026-03,6,41,4.25,8.6
kpi_0256,svc_communication,2026-04,7,42,4.3,3.0
kpi_0257,svc_credentialing,2026-05,8,43,4.35,3.8
kpi_0258,svc_auth_benefits,2026-06,9,44,4.4,4.6
kpi_0259,svc_billing_denials,2026-07,10,8,4.45,5.4
kpi_0260,svc_auditing,2026-08,11,9,4.0,6.2
kpi_0261,svc_customer_care,2026-09,12,10,4.05,7.0
kpi_0262,svc_digital_marketing,2026-10,13,11,4.1,7.8
kpi_0263,svc_financial_management,2026-11,14,12,4.15,8.6
kpi_0264,svc_communication,2026-12,4,13,4.2,3.0
kpi_0265,svc_credentialing,2026-01,5,14,4.25,3.8
kpi_0266,svc_auth_benefits,2026-02,6,15,4.3,4.6
kpi_0267,svc_billing_denials,2026-03,7,16,4.35,5.4
kpi_0268,svc_auditing,2026-04,8,17,4.4,6.2
kpi_0269,svc_customer_care,2026-05,9,18,4.45,7.0
kpi_0270,svc_digital_marketing,2026-06,10,19,4.0,7.8
kpi_0271,svc_financial_management,2026-07,11,20,4.05,8.6
kpi_0272,svc_communication,2026-08,12,21,4.1,3.0
kpi_0273,svc_credentialing,2026-09,13,22,4.15,3.8
kpi_0274,svc_auth_benefits,2026-10,14,23,4.2,4.6
kpi_0275,svc_billing_denials,2026-11,4,24,4.25,5.4
kpi_0276,svc_auditing,2026-12,5,25,4.3,6.2
kpi_0277,svc_customer_care,2026-01,6,26,4.35,7.0
kpi_0278,svc_digital_marketing,2026-02,7,27,4.4,7.8
kpi_0279,svc_financial_management,2026-03,8,28,4.45,8.6
kpi_0280,svc_communication,2026-04,9,29,4.0,3.0
kpi_0281,svc_credentialing,2026-05,10,30,4.05,3.8
kpi_0282,svc_auth_benefits,2026-06,11,31,4.1,4.6
kpi_0283,svc_billing_denials,2026-07,12,32,4.15,5.4
kpi_0284,svc_auditing,2026-08,13,33,4.2,6.2
kpi_0285,svc_customer_care,2026-09,14,34,4.25,7.0
kpi_0286,svc_digital_marketing,2026-10,4,35,4.3,7.8
kpi_0287,svc_financial_management,2026-11,5,36,4.35,8.6
kpi_0288,svc_communication,2026-12,6,37,4.4,3.0
kpi_0289,svc_credentialing,2026-01,7,38,4.45,3.8
kpi_0290,svc_auth_benefits,2026-02,8,39,4.0,4.6
kpi_0291,svc_billing_denials,2026-03,9,40,4.05,5.4
kpi_0292,svc_auditing,2026-04,10,41,4.1,6.2
kpi_0293,svc_customer_care,2026-05,11,42,4.15,7.0
kpi_0294,svc_digital_marketing,2026-06,12,43,4.2,7.8
kpi_0295,svc_financial_management,2026-07,13,44,4.25,8.6
kpi_0296,svc_communication,2026-08,14,8,4.3,3.0
kpi_0297,svc_credentialing,2026-09,4,9,4.35,3.8
kpi_0298,svc_auth_benefits,2026-10,5,10,4.4,4.6
kpi_0299,svc_billing_denials,2026-11,6,11,4.45,5.4
kpi_0300,svc_auditing,2026-12,7,12,4.0,6.2
kpi_0301,svc_customer_care,2026-01,8,13,4.05,7.0
kpi_0302,svc_digital_marketing,2026-02,9,14,4.1,7.8
kpi_0303,svc_financial_management,2026-03,10,15,4.15,8.6
kpi_0304,svc_communication,2026-04,11,16,4.2,3.0
kpi_0305,svc_credentialing,2026-05,12,17,4.25,3.8
kpi_0306,svc_auth_benefits,2026-06,13,18,4.3,4.6
kpi_0307,svc_billing_denials,2026-07,14,19,4.35,5.4
kpi_0308,svc_auditing,2026-08,4,20,4.4,6.2
kpi_0309,svc_customer_care,2026-09,5,21,4.45,7.0
kpi_0310,svc_digital_marketing,2026-10,6,22,4.0,7.8
kpi_0311,svc_financial_management,2026-11,7,23,4.05,8.6
kpi_0312,svc_communication,2026-12,8,24,4.1,3.0
kpi_0313,svc_credentialing,2026-01,9,25,4.15,3.8
kpi_0314,svc_auth_benefits,2026-02,10,26,4.2,4.6
kpi_0315,svc_billing_denials,2026-03,11,27,4.25,5.4
kpi_0316,svc_auditing,2026-04,12,28,4.3,6.2
kpi_0317,svc_customer_care,2026-05,13,29,4.35,7.0
kpi_0318,svc_digital_marketing,2026-06,14,30,4.4,7.8
kpi_0319,svc_financial_management,2026-07,4,31,4.45,8.6
kpi_0320,svc_communication,2026-08,5,32,4.0,3.0
kpi_0321,svc_credentialing,2026-09,6,33,4.05,3.8
kpi_0322,svc_auth_benefits,2026-10,7,34,4.1,4.6
kpi_0323,svc_billing_denials,2026-11,8,35,4.15,5.4
kpi_0324,svc_auditing,2026-12,9,36,4.2,6.2
kpi_0325,svc_customer_care,2026-01,10,37,4.25,7.0
kpi_0326,svc_digital_marketing,2026-02,11,38,4.3,7.8
kpi_0327,svc_financial_management,2026-03,12,39,4.35,8.6
kpi_0328,svc_communication,2026-04,13,40,4.4,3.0
kpi_0329,svc_credentialing,2026-05,14,41,4.45,3.8
kpi_0330,svc_auth_benefits,2026-06,4,42,4.0,4.6
kpi_0331,svc_billing_denials,2026-07,5,43,4.05,5.4
kpi_0332,svc_auditing,2026-08,6,44,4.1,6.2
kpi_0333,svc_customer_care,2026-09,7,8,4.15,7.0
kpi_0334,svc_digital_marketing,2026-10,8,9,4.2,7.8
kpi_0335,svc_financial_management,2026-11,9,10,4.25,8.6
kpi_0336,svc_communication,2026-12,10,11,4.3,3.0
kpi_0337,svc_credentialing,2026-01,11,12,4.35,3.8
kpi_0338,svc_auth_benefits,2026-02,12,13,4.4,4.6
kpi_0339,svc_billing_denials,2026-03,13,14,4.45,5.4
kpi_0340,svc_auditing,2026-04,14,15,4.0,6.2
kpi_0341,svc_customer_care,2026-05,4,16,4.05,7.0
kpi_0342,svc_digital_marketing,2026-06,5,17,4.1,7.8
kpi_0343,svc_financial_management,2026-07,6,18,4.15,8.6
kpi_0344,svc_communication,2026-08,7,19,4.2,3.0
kpi_0345,svc_credentialing,2026-09,8,20,4.25,3.8
kpi_0346,svc_auth_benefits,2026-10,9,21,4.3,4.6
kpi_0347,svc_billing_denials,2026-11,10,22,4.35,5.4
kpi_0348,svc_auditing,2026-12,11,23,4.4,6.2
kpi_0349,svc_customer_care,2026-01,12,24,4.45,7.0
kpi_0350,svc_digital_marketing,2026-02,13,25,4.0,7.8
kpi_0351,svc_financial_management,2026-03,14,26,4.05,8.6
kpi_0352,svc_communication,2026-04,4,27,4.1,3.0
kpi_0353,svc_credentialing,2026-05,5,28,4.15,3.8
kpi_0354,svc_auth_benefits,2026-06,6,29,4.2,4.6
kpi_0355,svc_billing_denials,2026-07,7,30,4.25,5.4
kpi_0356,svc_auditing,2026-08,8,31,4.3,6.2
kpi_0357,svc_customer_care,2026-09,9,32,4.35,7.0
kpi_0358,svc_digital_marketing,2026-10,10,33,4.4,7.8
kpi_0359,svc_financial_management,2026-11,11,34,4.45,8.6
kpi_0360,svc_communication,2026-12,12,35,4.0,3.0
kpi_0361,svc_credentialing,2026-01,13,36,4.05,3.8
kpi_0362,svc_auth_benefits,2026-02,14,37,4.1,4.6
kpi_0363,svc_billing_denials,2026-03,4,38,4.15,5.4
kpi_0364,svc_auditing,2026-04,5,39,4.2,6.2
kpi_0365,svc_customer_care,2026-05,6,40,4.25,7.0
kpi_0366,svc_digital_marketing,2026-06,7,41,4.3,7.8
kpi_0367,svc_financial_management,2026-07,8,42,4.35,8.6
kpi_0368,svc_communication,2026-08,9,43,4.4,3.0
kpi_0369,svc_credentialing,2026-09,10,44,4.45,3.8
kpi_0370,svc_auth_benefits,2026-10,11,8,4.0,4.6
kpi_0371,svc_billing_denials,2026-11,12,9,4.05,5.4
kpi_0372,svc_auditing,2026-12,13,10,4.1,6.2
kpi_0373,svc_customer_care,2026-01,14,11,4.15,7.0
kpi_0374,svc_digital_marketing,2026-02,4,12,4.2,7.8
kpi_0375,svc_financial_management,2026-03,5,13,4.25,8.6
kpi_0376,svc_communication,2026-04,6,14,4.3,3.0
kpi_0377,svc_credentialing,2026-05,7,15,4.35,3.8
kpi_0378,svc_auth_benefits,2026-06,8,16,4.4,4.6
kpi_0379,svc_billing_denials,2026-07,9,17,4.45,5.4
kpi_0380,svc_auditing,2026-08,10,18,4.0,6.2
kpi_0381,svc_customer_care,2026-09,11,19,4.05,7.0
kpi_0382,svc_digital_marketing,2026-10,12,20,4.1,7.8
kpi_0383,svc_financial_management,2026-11,13,21,4.15,8.6
kpi_0384,svc_communication,2026-12,14,22,4.2,3.0
kpi_0385,svc_credentialing,2026-01,4,23,4.25,3.8
kpi_0386,svc_auth_benefits,2026-02,5,24,4.3,4.6
kpi_0387,svc_billing_denials,2026-03,6,25,4.35,5.4
kpi_0388,svc_auditing,2026-04,7,26,4.4,6.2
kpi_0389,svc_customer_care,2026-05,8,27,4.45,7.0
kpi_0390,svc_digital_marketing,2026-06,9,28,4.0,7.8
kpi_0391,svc_financial_management,2026-07,10,29,4.05,8.6
kpi_0392,svc_communication,2026-08,11,30,4.1,3.0
kpi_0393,svc_credentialing,2026-09,12,31,4.15,3.8
kpi_0394,svc_auth_benefits,2026-10,13,32,4.2,4.6
kpi_0395,svc_billing_denials,2026-11,14,33,4.25,5.4
kpi_0396,svc_auditing,2026-12,4,34,4.3,6.2
kpi_0397,svc_customer_care,2026-01,5,35,4.35,7.0
kpi_0398,svc_digital_marketing,2026-02,6,36,4.4,7.8
kpi_0399,svc_financial_management,2026-03,7,37,4.45,8.6
kpi_0400,svc_communication,2026-04,8,38,4.0,3.0
kpi_0401,svc_credentialing,2026-05,9,39,4.05,3.8
kpi_0402,svc_auth_benefits,2026-06,10,40,4.1,4.6
kpi_0403,svc_billing_denials,2026-07,11,41,4.15,5.4
kpi_0404,svc_auditing,2026-08,12,42,4.2,6.2
kpi_0405,svc_customer_care,2026-09,13,43,4.25,7.0
kpi_0406,svc_digital_marketing,2026-10,14,44,4.3,7.8
kpi_0407,svc_financial_management,2026-11,4,8,4.35,8.6
kpi_0408,svc_communication,2026-12,5,9,4.4,3.0
kpi_0409,svc_credentialing,2026-01,6,10,4.45,3.8
kpi_0410,svc_auth_benefits,2026-02,7,11,4.0,4.6
kpi_0411,svc_billing_denials,2026-03,8,12,4.05,5.4
kpi_0412,svc_auditing,2026-04,9,13,4.1,6.2
kpi_0413,svc_customer_care,2026-05,10,14,4.15,7.0
kpi_0414,svc_digital_marketing,2026-06,11,15,4.2,7.8
kpi_0415,svc_financial_management,2026-07,12,16,4.25,8.6
kpi_0416,svc_communication,2026-08,13,17,4.3,3.0
kpi_0417,svc_credentialing,2026-09,14,18,4.35,3.8
kpi_0418,svc_auth_benefits,2026-10,4,19,4.4,4.6
kpi_0419,svc_billing_denials,2026-11,5,20,4.45,5.4
kpi_0420,svc_auditing,2026-12,6,21,4.0,6.2
kpi_0421,svc_customer_care,2026-01,7,22,4.05,7.0
kpi_0422,svc_digital_marketing,2026-02,8,23,4.1,7.8
kpi_0423,svc_financial_management,2026-03,9,24,4.15,8.6
kpi_0424,svc_communication,2026-04,10,25,4.2,3.0
kpi_0425,svc_credentialing,2026-05,11,26,4.25,3.8
kpi_0426,svc_auth_benefits,2026-06,12,27,4.3,4.6
kpi_0427,svc_billing_denials,2026-07,13,28,4.35,5.4
kpi_0428,svc_auditing,2026-08,14,29,4.4,6.2
kpi_0429,svc_customer_care,2026-09,4,30,4.45,7.0
kpi_0430,svc_digital_marketing,2026-10,5,31,4.0,7.8
kpi_0431,svc_financial_management,2026-11,6,32,4.05,8.6
